Stock_Symbol,Stock_Name,Exchange
6715,嘉  基,TWSE
6757,台灣虎航,TWSE
6768,志強-KY,TWSE
6781,AES-KY,TWSE
6805,富世達股,TWSE
6811,宏碁資訊服務,TPEX
6831,邁科科技,TWSE
6863,Arizon RFID Technology,TWSE
7722,LINEPAY,TWSE
7734,印能科技,TPEX
7750,新  代,TWSE
7751,竑騰,TPEX
7769,鴻勁精密,TWSE
8016,矽創電子,TWSE
8021,尖點,TWSE
8028,昇陽國際半導體,TWSE
8039,台虹科技,TWSE
8046,南電,TWSE
8069,元太,TPEX
8114,振樺電子,TWSE
8150,南茂,TWSE
8210,勤誠興業,TWSE
8299,群聯電子,TPEX
8358,金居開發,TPEX
8464,億豐綜合,TWSE
8996,高力熱處理工業,TWSE
9802,鈺齊國際,TWSE
9907,統一實業,TWSE
9938,百和,TWSE
9945,潤泰創新國際,TWSE
